Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
Krępicka - Szkoła,,,0,0,0,1,1,0,0,0,
Księginice PR,,,0,0,1,1,0,0,0,0,
Księginice Ul. Sportowa,,,0,0,0,0,0,0,0,0,
Księska,,,0,0,0,0,0,0,0,0,
Kurlandzka,,,0,0,1,1,1,1,0,0,
Kurpiów,,,0,0,1,1,1,1,0,0,
Kutrzeby,,,0,0,0,0,0,0,0,0,
Kwiatkowskiego,,,0,1,1,0,0,0,0,0,
Kwiatkowskiego (Rondo),,,0,0,0,1,1,1,0,0,
Kwidzyńska,,,0,0,0,1,1,1,0,0,
Kwiska,,,0,0,0,0,0,0,0,0,
Kątna,,,0,0,0,0,0,0,0,0,
Kątowa,,,0,0,0,0,0,0,0,0,
Kębłowice,,,0,0,1,1,1,0,0,0,
Kępa Mieszczańska,51.1167858191892,17.024606828739973,0,0,1,1,1,0,0,0,
Kępińska,,,0,1,1,1,1,0,0,0,
Kętrzyńska,,,0,1,1,1,1,0,0,0,
Kłokoczyce,,,0,0,1,1,1,0,0,0,
Leśnica,,,0,0,0,0,0,0,0,0,
Litewska,,,0,0,0,0,0,0,0,0,
Litomska (Zus),,,0,1,1,1,0,0,0,0,
Las Mokrzański,,,0,0,0,0,0,0,0,0,
Las Osobowicki,,,0,0,0,1,1,1,0,0,
Las Ratyński,,,0,0,0,1,1,1,0,0,
Lawendowa,,,0,0,0,0,0,0,0,0,
Lekarska,,,1,1,1,1,1,1,0,0,
Leśnica - Hermes,,,1,1,1,1,1,1,0,0,
Libelta,,,0,0,0,0,0,0,0,0,
Lipa Piotrowska,51.17334031466762,16.994674494893893,0,0,0,0,0,0,0,0,
Lipska,,,0,0,0,0,0,0,0,0,
Lubelska,,,0,0,0,0,0,0,0,0,
Lubiatów,,,0,1,1,1,1,0,0,0,
Lutosławskiego,,,0,0,0,0,0,0,0,0,
Lutynia - Kolonia,,,0,0,0,1,1,1,0,0,
Lutynia - Straż,,,0,0,1,1,0,0,0,0,
Lutynia Centrum,,,0,1,1,1,0,0,0,0,
